e, e_dot, e_int, stamp, 
2.6876398771236243, 0.0, 0.26872339359965836, 1729807117530947888, 
2.6876088697614424, -0.0002023541379885048, 0.2715989488885297, 1729807117582025605, 
2.6856274681161283, -0.017384041278318264, 0.2405309063292439, 1729807117620465789, 
2.681610049512075, -0.04405735314806839, 0.23699344128324584, 1729807117670293002, 
2.6727457082829793, -0.0684340506397003, 0.32408291737485295, 1729807117741392503, 
2.666486081344683, -0.09430431288220571, 0.2958563950989419, 1729807117780950861, 
2.6561038014183165, -0.11565661735140416, 0.2520370731061288, 1729807117835961544, 
2.6477769616132987, -0.1306057701277866, 0.2550846327240083, 1729807117876963242, 
2.637100734398802, -0.14037838236900443, 0.23813417696788788, 1729807117925925553, 
2.6259165517897047, -0.144233772230047, 0.26650475125711315, 1729807117978029485, 
2.6160298026563797, -0.1424538853026953, 0.25891553049813226, 1729807118024509377, 
2.5924204409399145, -0.14028046909978772, 0.41761067916268, 1729807118137944392, 
2.571918342981759, -0.13982374500155412, 0.5457798994412975, 1729807118234954381, 
2.5516742249614075, -0.14073869941317158, 0.49642276528052576, 1729807118330954473, 
2.5323373570470746, -0.1409721436512382, 0.47771561630729553, 1729807118422148734, 
2.5062110128094117, -0.14336936437694067, 0.5338524263140798, 1729807118541957149, 
2.486817499658444, -0.14531933735193572, 0.5238012451244934, 1729807118630962998, 
2.4652217356875674, -0.1446203680401276, 0.4698691789181055, 1729807118730956913, 
2.4460669221357385, -0.14232303283130784, 0.4704597403935914, 1729807118821738744, 
2.4201789790332437, -0.14202618605821726, 0.5160032256946427, 1729807118942102860, 
2.400640564792799, -0.14499480863054545, 0.5067776099920082, 1729807119030952530, 
2.378794418634222, -0.1461129226301308, 0.45324443739594045, 1729807119130964835, 
2.359455464255884, -0.14414087085296656, 0.4530489937576782, 1729807119221338836, 
2.333532076709697, -0.14287197248521077, 0.4977519510266207, 1729807119342121777, 
2.314535986096297, -0.14274598364347738, 0.4898533640338514, 1729807119431050596, 
2.293289611149922, -0.14241485236273335, 0.43587285111803353, 1729807119530502583, 
2.274230488682045, -0.14068571682437578, 0.43792029586240616, 1729807119621947164, 
2.2492910326782822, -0.13916485139614054, 0.47883800433692497, 1729807119741233669, 
2.23061850553514, -0.13746148421594842, 0.4753293382703754, 1729807119833075155, 
2.2095672693004405, -0.13944413463897873, 0.42309864693689414, 1729807119930978843, 
2.191010417977255, -0.1399227390063238, 0.41674009543104673, 1729807120021611318, 
