imu_ax, imu_ay, kf_ax, kf_ay, kf_vx, kf_w, kf_x, kf_y, stamp, 
0.0056081414222717285, 0.019187331199645996, 0.003952994402581591, 1.5755453598022985e-16, 9.679222337369227e-05, 1.627760273384241e-12, -1.9358444674738448e-05, 0.0, 1731624702208487458, 
0.012760341167449951, -0.011480867862701416, 0.00855911582030019, -2.372557592183374e-10, 0.0004065631157412361, -5.835643963564633e-07, -6.944520254210258e-05, -3.004518914763429e-13, 1731624702277661721, 
-0.001689136028289795, 0.013499796390533447, 0.003620122556710791, 1.0604739179130449e-09, 0.00045427724207808674, 2.3344200846644165e-06, -7.302356708420781e-05, 8.011907179184117e-12, 1731624702318728282, 
0.0199204683303833, 0.007775008678436279, 0.011221417441103432, 2.1462553422371103e-09, 0.000741319356693549, 2.8951831931246093e-06, -0.00011555772538172745, 1.8160897291541913e-11, 1731624702369278705, 
0.016151785850524902, -0.005054116249084473, 0.013473195399048033, -2.0789968112752506e-10, 0.0010853233901357354, -1.9155551517370707e-07, -0.00015570938573903134, 5.012367198401403e-12, 1731624702418302118, 
1.1791144609451294, -0.26729243993759155, 0.5531995400294298, -0.00171352056428323, 0.030561933691393574, -0.056067151430466186, -0.0017830059764011787, -6.140388547157748e-07, 1731624702468327893, 
0.6725320219993591, -0.12467449903488159, 0.6079234033127862, -0.017989220634754985, 0.07632472769239113, -0.2356932173706051, -0.00033250584263067647, -5.260822340504156e-05, 1731624702528356983, 
0.4507027864456177, -0.518682062625885, 0.5362648716510264, -0.06560431621650244, 0.16037785042629268, -0.40906095225819994, 0.010609283098139721, -0.0004591429705836556, 1731624702559314448, 
1.2303543090820312, -0.3072470426559448, 0.8574333654103299, -0.16566436429061615, 0.23133302623497748, -0.7161293265681048, 0.025595085105528735, -0.002107917422338683, 1731624702718178527, 
1.062195062637329, 0.0007405281066894531, 0.947195500211657, -0.19387529776706408, 0.19809307355375827, -0.9787081107328592, 0.03410171471152524, -0.004865433066494802, 1731624702818220425, 
-0.1988140344619751, -0.48421400785446167, 0.41873501246696654, -0.39090078540520456, 0.29963263260076184, -1.304600176597089, 0.05638798477672611, -0.010936392414940797, 1731624702931822549, 
-0.0960075855255127, -0.743654727935791, 0.18337749873674425, -0.578085113901568, 0.38691652864486703, -1.49408224023473, 0.08803676601414587, -0.02395850537733853, 1731624703024228588, 
-0.1158071756362915, -0.579413890838623, 0.043336094909002865, -0.5564439249864608, 0.36209157220446586, -1.5367491753501736, 0.11874820404960629, -0.042926307568979576, 1731624703122183591, 
0.055557191371917725, -0.4690377712249756, 0.04671455450925567, -0.488067409306717, 0.32078410524588113, -1.521482521500288, 0.1444600953140569, -0.06475074518256903, 1731624703214213620, 
0.2384873628616333, -0.2882981300354004, 0.13139123497857663, -0.3797974952260469, 0.2477676498545282, -1.5328776595695095, 0.16207858382152754, -0.08581053096692244, 1731624703332803128, 
-0.1361507773399353, -0.2516534924507141, 0.005914981789377577, -0.32740787847247416, 0.22278262780129476, -1.4696293050484044, 0.17534430476260035, -0.10591390600626957, 1731624703423248162, 
-0.011848151683807373, 0.1801447868347168, -0.008510157015010143, -0.13469704851405312, 0.10467864486903845, -1.2867672167763553, 0.18343748669319787, -0.1224657795414947, 1731624703523256594, 
0.13017719984054565, 0.3043311834335327, 0.051761734327427276, -0.03771842486598093, 0.03214265029452916, -1.1734696585489965, 0.18589042871857828, -0.129796185658451, 1731624703613401737, 
-0.043702125549316406, 0.05690878629684448, 0.010029948139840879, -0.09243264873557168, 0.08760615391718662, -1.0550931025113544, 0.18777578205384254, -0.13660692361182822, 1731624703718961540, 
