x, y, theta, stamp, 
-1.2773489288520068e-06, 1.4878252159178373e-06, -1.4782068622786605e-05, 1731622797456535691, 
-1.2773489288520068e-06, 1.4878252159178373e-06, -1.4782071334126132e-05, 1731622797518145737, 
-1.2773489288520068e-06, 1.4878252159178373e-06, -1.4782072726707945e-05, 1731622797656589960, 
-1.2773489288520068e-06, 1.4878252159178373e-06, -1.4782073040664525e-05, 1731622797713655129, 
-1.2773489288520068e-06, 1.4878252159178373e-06, -1.4782073040664525e-05, 1731622797751600109, 
1.4702061889693141e-05, 5.121757567394525e-05, 0.01000652207640397, 1731622797805785293, 
0.00034285843139514327, 0.00034935816074721515, 0.04898114788787623, 1731622797856562121, 
0.002087309490889311, 0.00041154262726195157, 0.11485043825607782, 1731622797916118461, 
0.004737964831292629, 0.0004957045894116163, 0.17281766719374106, 1731622797966525891, 
0.007622591685503721, 0.0006360721308737993, 0.22639629102587766, 1731622798016609733, 
0.009955341927707195, 0.0007945764809846878, 0.2660333010932052, 1731622798056581920, 
0.01250765472650528, 0.0016064130468294024, 0.31474317912079497, 1731622798106592504, 
0.01846606656908989, 0.0032166666351258755, 0.4202370986666569, 1731622798206576673, 
0.02430560439825058, 0.0057859281077980995, 0.5124168064599146, 1731622798295685632, 
0.032849494367837906, 0.010881280526518822, 0.6381792383636359, 1731622798417412866, 
0.04123983904719353, 0.017036523669958115, 0.7417707078751946, 1731622798507594986, 
0.04930402711033821, 0.024537496268749237, 0.8524892043366331, 1731622798606663959, 
0.05569082871079445, 0.03195025771856308, 0.940683465821287, 1731622798695669403, 
0.06389277428388596, 0.043294575065374374, 1.058836166945329, 1731622798817613929, 
0.070754274725914, 0.05562439188361168, 1.1739189828834289, 1731622798908600870, 
0.07745038717985153, 0.07356373965740204, 1.3058542435575988, 1731622799006032816, 
0.08137408643960953, 0.08767425268888474, 1.4077254757647042, 1731622799096188825, 
0.08405878394842148, 0.10608821362257004, 1.520834605263218, 1731622799216674834, 
0.08419038355350494, 0.12102559953927994, 1.6107644849455787, 1731622799306588512, 
0.08278541266918182, 0.13862580060958862, 1.7110993841983686, 1731622799405793586, 
0.07920268923044205, 0.1583269238471985, 1.8227817282759062, 1731622799516412029, 
0.07362130284309387, 0.17660923302173615, 1.9235017256153355, 1731622799617602875, 
0.06672900170087814, 0.19328977167606354, 2.0139088784264696, 1731622799705982555, 
0.05718448758125305, 0.21183037757873535, 2.1148179777288116, 1731622799806114366, 
0.04371367394924164, 0.23194992542266846, 2.2276941369816754, 1731622799916223947, 
0.029481861740350723, 0.24974031746387482, 2.3309881916068886, 1731622800017461282, 
0.01442116592079401, 0.26446831226348877, 2.4198457757670333, 1731622800106044188, 
-0.0042282589711248875, 0.2797413170337677, 2.521447462046741, 1731622800206316612, 
-0.023477666079998016, 0.29289937019348145, 2.6148767625886564, 1731622800298292247, 
-0.052700307220220566, 0.3082982003688812, 2.7358649164482998, 1731622800416864312, 
-0.07547681778669357, 0.31713664531707764, 2.8246717222423934, 1731622800505975089, 
-0.10448474436998367, 0.3253098726272583, 2.9259362663887036, 1731622800607160690, 
-0.13158796727657318, 0.33020684123039246, 3.0155067368117168, 1731622800697491597, 
-0.1696804314851761, 0.33299219608306885, 3.1353387835411795, 1731622800817498742, 
-0.199416846036911, 0.3318091928958893, -3.0565140212886464, 1731622800905979854, 
-0.23164255917072296, 0.32792598009109497, -2.9612593610440583, 1731622801003117163, 
-0.2680928111076355, 0.3199978768825531, -2.857357309847258, 1731622801112598304, 
-0.29985323548316956, 0.3096233308315277, -2.764623137962189, 1731622801212605504, 
-0.3307272493839264, 0.2962391674518585, -2.673575423361471, 1731622801311577035, 
-0.3581639230251312, 0.2813766300678253, -2.5926904803574042, 1731622801401747425, 
-0.38981133699417114, 0.2599371671676636, -2.50035969086859, 1731622801511416128, 
-0.4183062016963959, 0.2374209463596344, -2.4109326972222167, 1731622801618125124, 
-0.44127070903778076, 0.21567592024803162, -2.3371601220388074, 1731622801705774023, 
-0.46458151936531067, 0.18984395265579224, -2.252009834019395, 1731622801807234092, 
-0.4839162230491638, 0.16443373262882233, -2.178569397196469, 1731622801897039466, 
-0.5058725476264954, 0.1296084076166153, -2.0885003719576916, 1731622802011624009, 
-0.5215101838111877, 0.10005981475114822, -2.016253867979359, 1731622802106749309, 
-0.5357477068901062, 0.0676807090640068, -1.9391998723062993, 1731622802206738943, 
-0.5488020181655884, 0.030062802135944366, -1.8565276367019683, 1731622802317524190, 
-0.5576057434082031, -0.0036715022288262844, -1.786108980913877, 1731622802412694148, 
-0.5639432668685913, -0.037417780607938766, -1.71949903476681, 1731622802506702732, 
-0.568511962890625, -0.07344681769609451, -1.6490724598094424, 1731622802608615252, 
-0.5702885389328003, -0.11301364004611969, -1.5737886080803016, 1731622802716872580, 
-0.5694935917854309, -0.14872802793979645, -1.50774897854386, 1731622802813637554, 
-0.5663789510726929, -0.18322208523750305, -1.4453403027136102, 1731622802906586293, 
-0.5608718991279602, -0.21851429343223572, -1.3796606093843053, 1731622803003960482, 
-0.5517764091491699, -0.2595847547054291, -1.3040303371396114, 1731622803117043768, 
-0.5418240427970886, -0.2937391400337219, -1.242837961900497, 1731622803213630394, 
-0.5300901532173157, -0.3267611265182495, -1.185880051719859, 1731622803306643185, 
-0.5155813694000244, -0.3602060079574585, -1.1264089983996373, 1731622803404679751, 
-0.4966078996658325, -0.3974645435810089, -1.0583391930961379, 1731622803517367532, 
-0.47814783453941345, -0.42918702960014343, -0.9996480546112623, 1731622803614654774, 
-0.45902588963508606, -0.45797842741012573, -0.9463141122420021, 1731622803706637948, 
-0.4371549189090729, -0.4876549243927002, -0.8893767128763769, 1731622803805610144, 
-0.41481301188468933, -0.51421058177948, -0.8347429892545913, 1731622803897205860, 
-0.3841262757778168, -0.5465139150619507, -0.7711799672356068, 1731622804014697752, 
-0.35844045877456665, -0.5707677006721497, -0.7215997390552121, 1731622804107702800, 
-0.3298928439617157, -0.5950405597686768, -0.6685802076351495, 1731622804205738321, 
-0.29661858081817627, -0.6205815076828003, -0.6090883951444142, 1731622804318482886, 
-0.2651130259037018, -0.6419408321380615, -0.5581728757964958, 1731622804416668208, 
-0.2354430854320526, -0.659805178642273, -0.5120666079918144, 1731622804506769142, 
-0.20205996930599213, -0.6779077053070068, -0.46075750540230936, 1731622804606733209, 
-0.1710738092660904, -0.6927759051322937, -0.4172900195517388, 1731622804697459791, 
-0.12873367965221405, -0.7105883359909058, -0.35947476944620277, 1731622804816653148, 
-0.09595082700252533, -0.7224372029304504, -0.314730241976029, 1731622804908632147, 
-0.0593034029006958, -0.7338266968727112, -0.2676885529647015, 1731622805006722100, 
-0.018600590527057648, -0.7441987991333008, -0.21499524498937253, 1731622805116888974, 
0.01978660374879837, -0.7520692348480225, -0.17032133837363897, 1731622805216626719, 
0.05453076213598251, -0.7577539086341858, -0.1259875195249543, 1731622805307630362, 
0.09284861385822296, -0.7620964050292969, -0.07887919110239663, 1731622805406749695, 
0.13612298667430878, -0.7646616101264954, -0.029151527903736152, 1731622805517549078, 
0.17547458410263062, -0.7651938796043396, 0.016477618330540747, 1731622805616651156, 
0.21001335978507996, -0.7642026543617249, 0.058802802710866124, 1731622805707203677, 
0.24944926798343658, -0.7613005042076111, 0.10509231315257632, 1731622805806751139, 
