e, e_dot, e_int, stamp, 
0.7853975151216867, 0.0, 0.06990399638678477, 1729799395091505824, 
0.7853975151216867, 0.0, 0.07871405713889217, 1729799395141693111, 
0.7853975151216867, 0.0, 0.07862243345017558, 1729799395191611098, 
0.7853975151216867, 0.0, 0.07935859046808671, 1729799395242735690, 
0.7853975151216867, 0.0, 0.08626001980501369, 1729799395301440857, 
0.785397515120143, -1.1151443207687192e-11, 0.08234680810176656, 1729799395347582989, 
0.7843898042790332, -0.006732879773019749, 0.07539116856658655, 1729799395397473025, 
0.7775212458636954, -0.054417067702560475, 0.07660383915431912, 1729799395445487253, 
0.7678976929785295, -0.11178506250112163, 0.07615214566292554, 1729799395495531047, 
0.7306895142851049, -0.17265741817211308, 0.1246511507535831, 1729799395609782347, 
0.6849718465558021, -0.2819994400586276, 0.14710954252785555, 1729799395697645401, 
0.6334033834125332, -0.3473086092534636, 0.12754028863268133, 1729799395796511862, 
0.5802713425777604, -0.35461001454342417, 0.12458535915322018, 1729799395894499351, 
0.52087266761697, -0.364379381166213, 0.11899435695183806, 1729799396002319482, 
0.4653245113074713, -0.37030823168098137, 0.10809145607943514, 1729799396101509172, 
0.40880138424609674, -0.3750836473855763, 0.09262309277947983, 1729799396201509134, 
0.3607896664177649, -0.3660564265383864, 0.07824785019700534, 1729799396291597918, 
0.31029746018379833, -0.34591587910833027, 0.06843289993473291, 1729799396391620148, 
0.26256716778907363, -0.312614597657135, 0.06543211439718709, 1729799396501843128, 
0.22289789789223335, -0.275670319145169, 0.055945363420097795, 1729799396602532430, 
0.1901378247270724, -0.254041549271033, 0.0427151141293891, 1729799396691518667, 
0.15846022890468525, -0.22808007193191573, 0.03604280834982837, 1729799396791734864, 
0.12886495382688057, -0.19527838491184069, 0.033411736359109934, 1729799396901451599, 
0.1021517155701408, -0.17891786663183037, 0.02723250865791419, 1729799397001497051, 
0.08105427666189835, -0.16541520466065981, 0.01998083372913873, 1729799397093531323, 
0.06256328179872106, -0.13893148441441103, 0.015616297395396763, 1729799397192118488, 
0.04641859980400387, -0.11170852169851346, 0.013175453899492076, 1729799397301525223, 
0.03309640886899956, -0.09359763053164179, 0.009917196049985625, 1729799397401521262, 
0.02529007060633459, -0.0729865484430798, 0.006674360554590479, 1729799397492575903, 
0.017265502664517873, -0.055439670981801616, 0.0048072207018128475, 1729799397592152911, 
0.009074543853375139, -0.05184134946993867, 0.0035948482202741838, 1729799397701456790, 
0.00345776372816875, -0.04369767706585324, 0.002079149351460815, 1729799397801478630, 
0.0005582680833157161, -0.02931954826311044, 0.0008342712799859043, 1729799397892648828, 
-0.0036908427537644117, -0.02496087520812885, 2.0574097074628755e-05, 1729799397991282960, 
-0.00733132964905292, -0.02536596004093512, -0.0007286036319568458, 1729799398101539394, 
-0.008099917209618002, -0.013568227605984856, -0.0013401439043355028, 1729799398201533607, 
-0.010928779591231508, -0.01291615890332917, -0.0016788282336589588, 1729799398292604631, 
-0.011883292559807912, -0.013555101099773884, -0.001962570004519222, 1729799398392000482, 
-0.01055363232177331, 0.000775201473068074, -0.002345194088537911, 1729799398503467323, 
-0.008952425983231871, 0.00947756535416407, -0.0021814181621853555, 1729799398600486937, 
-0.008950370904351801, 0.005508750445429045, -0.0017941584828216662, 1729799398692615280, 
-0.007455508188591753, 0.004564007149895349, -0.0017030988648101672, 1729799398801971089, 
-0.006696563792497057, 0.007069293323167401, -0.0016174487241475827, 1729799398902651344, 
-0.0069795461687196525, 0.0015391184746544485, -0.0013916238332313982, 1729799398999536248, 
-0.0057269667933610435, 0.0035590380113748776, -0.0012223963644060688, 1729799399091651735, 
-0.004539957632763714, 0.008577534253934774, -0.0010919031654019636, 1729799399189471312, 
-0.003809145084132881, 0.006219990354745871, -0.0009844638137779997, 1729799399301468221, 
-0.003727681579617337, 0.0024520398389486792, -0.0008455679964600922, 1729799399399519279, 
-0.0030774306068406254, 0.002633724837178119, -0.0006723063691305872, 1729799399491488027, 
-0.003746031888835155, 6.54757021544223e-05, -0.0006655490156262715, 1729799399588754402, 
-0.003127083799401631, -0.00046189321989481184, -0.0006966825965473701, 1729799399701531549, 
