x, y, theta, stamp, 
-6.749654858140275e-06, 7.856979209464043e-06, -7.772223840251291e-05, 1729802593921348023, 
-6.749654858140275e-06, 7.856979209464043e-06, -7.772222580912082e-05, 1729802593984335054, 
-6.749654858140275e-06, 7.856979209464043e-06, -7.772222483270013e-05, 1729802594034430224, 
-6.749654858140275e-06, 7.856979209464043e-06, -7.772220139977834e-05, 1729802594082139798, 
-7.681306669837795e-06, 8.9415716502117e-06, -8.845099552241461e-05, 1729802594131748305, 
3.086709330091253e-05, 2.9864293537684716e-05, -8.845099552241461e-05, 1729802594174229091, 
0.0028903905767947435, 0.00017941731493920088, 0.002372266486179165, 1729802594224814652, 
0.008046613074839115, 0.0002003182307817042, 0.0064225664865889655, 1729802594274975993, 
0.015560812316834927, 0.00023618536943104118, 0.01073603092079124, 1729802594325484734, 
0.026232589036226273, 0.0005198557628318667, 0.019232754379394493, 1729802594384454494, 
0.03739364072680473, 0.0009137438610196114, 0.02811188326194674, 1729802594434570365, 
0.04903840646147728, 0.001458345097489655, 0.03956589064162039, 1729802594484590011, 
0.059639159590005875, 0.0018093495164066553, 0.04948833340910561, 1729802594530477179, 
0.07964222133159637, 0.003076231572777033, 0.06206361818541912, 1729802594624904358, 
0.10368342697620392, 0.004654347896575928, 0.07627845216150815, 1729802594734198903, 
0.1254786103963852, 0.006605737376958132, 0.09032112389418831, 1729802594834361698, 
0.14587439596652985, 0.008516422472894192, 0.10469355922278716, 1729802594930511976, 
0.1659436821937561, 0.010870259255170822, 0.11886252881371542, 1729802595024524646, 
0.18766161799430847, 0.013542821630835533, 0.1338541501662011, 1729802595123636712, 
0.21111932396888733, 0.016806496307253838, 0.14928093918300092, 1729802595234391160, 
0.23285387456417084, 0.020409036427736282, 0.16229302249922153, 1729802595334330378, 
0.2518460750579834, 0.023790353909134865, 0.17491268681697736, 1729802595424392516, 
0.27544188499450684, 0.0283503457903862, 0.18876227688933173, 1729802595534304557, 
0.2970592975616455, 0.03253106027841568, 0.20362906022709326, 1729802595634367949, 
0.3181038796901703, 0.037210844457149506, 0.2183936872877962, 1729802595733336326, 
0.3369414806365967, 0.04164113849401474, 0.23383542884507863, 1729802595824369069, 
0.35805314779281616, 0.0468922033905983, 0.24773523423557578, 1729802595925150190, 
0.3810863792896271, 0.05287965387105942, 0.26479643043063666, 1729802596034494624, 
0.4017327129840851, 0.05875740945339203, 0.2789058297070739, 1729802596135319916, 
0.4204079806804657, 0.06417347490787506, 0.2925824161471157, 1729802596224395494, 
0.4425068199634552, 0.07116106152534485, 0.3098950731239929, 1729802596334273156, 
0.4625437259674072, 0.07784712314605713, 0.3225928237583199, 1729802596434387960, 
0.48112213611602783, 0.08440568298101425, 0.33661295639143046, 1729802596530325996, 
0.4998035132884979, 0.09116602689027786, 0.3490618526843347, 1729802596627399397, 
0.5169655680656433, 0.09756287187337875, 0.36323311849126816, 1729802596719189579, 
0.5381810069084167, 0.10597024112939835, 0.3796959518856243, 1729802596834410865, 
0.5559750199317932, 0.11327258497476578, 0.39500574486710893, 1729802596934333645, 
0.5719019174575806, 0.11998409777879715, 0.4060767231469366, 1729802597024407773, 
0.5888085961341858, 0.1274893581867218, 0.41975294333983465, 1729802597124908379, 
0.6077297329902649, 0.1362103521823883, 0.43392057091553554, 1729802597234416674, 
0.616202712059021, 0.14009904861450195, 0.4410685323935326, 1729802597284412504, 
0.6388293504714966, 0.15107490122318268, 0.46278468923571886, 1729802597424427763, 
0.6469359397888184, 0.15511010587215424, 0.46850846790283185, 1729802597474304752, 
0.6639243364334106, 0.1639547497034073, 0.4825082254229828, 1729802597584431877, 
0.6793062686920166, 0.17218251526355743, 0.49682634581875557, 1729802597684419395, 
0.6999119520187378, 0.1837719827890396, 0.5164102996826008, 1729802597824755770, 
0.7158950567245483, 0.19308923184871674, 0.5307092336003111, 1729802597934935868, 
0.7301905155181885, 0.2016720473766327, 0.5443973063226127, 1729802598034517562, 
0.7439767718315125, 0.21008752286434174, 0.5587154142954434, 1729802598134476485, 
0.7587950229644775, 0.21960991621017456, 0.5743958871901524, 1729802598244835717, 
0.7703680396080017, 0.22715362906455994, 0.5864730217314418, 1729802598334562731, 
0.7834653258323669, 0.2359754890203476, 0.5997858040312098, 1729802598434437693, 
0.7962854504585266, 0.24499346315860748, 0.6129135031175879, 1729802598534435368, 
0.8076694011688232, 0.2530446946620941, 0.627231032793578, 1729802598624482240, 
0.8196107149124146, 0.2618553936481476, 0.6400982739094974, 1729802598724925246, 
0.8322330713272095, 0.2715475261211395, 0.656576232799529, 1729802598834414420, 
0.8434216380119324, 0.2803245484828949, 0.6694210562739508, 1729802598934358494, 
0.8536213040351868, 0.2884408235549927, 0.6814322599256785, 1729802599025472793, 
0.865065336227417, 0.2979050278663635, 0.6951281842022909, 1729802599134412899, 
0.8755233883857727, 0.3066635727882385, 0.7098080796531362, 1729802599236441610, 
