e, e_dot, e_int, stamp, 
0.7405914296754763, 8.668936787247474e-11, 0.07270210544948381, 1729805869861046136, 
0.7405914296617395, -1.6113938377022913e-10, 0.0803078394604852, 1729805869922417331, 
0.7405694331765907, -0.00014490874061087866, 0.08292297848177696, 1729805869973015835, 
0.7345428890068256, -0.04209531658027874, 0.07273768555432575, 1729805870020902093, 
0.7257206711686927, -0.10072788391116765, 0.07183371874657328, 1729805870070933831, 
0.7171953771910791, -0.12649751540369683, 0.06677189517130967, 1729805870112897254, 
0.7034621999991293, -0.15935926715472068, 0.06576302767427042, 1729805870162851033, 
0.6857316936780283, -0.2095804034765103, 0.0702585691935056, 1729805870212962190, 
0.6614836980358504, -0.2538776986653384, 0.07489776648587389, 1729805870272421304, 
0.6464560183548301, -0.27112483709380675, 0.06413827600290734, 1729805870309474999, 
0.6218183963415702, -0.2646548896169713, 0.06463877249487579, 1729805870372908674, 
0.584668534115834, -0.25716269121404967, 0.09907583108965358, 1729805870469883334, 
0.548824020986575, -0.2562099106282434, 0.11113842272685205, 1729805870562855229, 
0.5114262219255565, -0.25228944368588063, 0.10619915451533424, 1729805870663569167, 
0.4087067618674038, -0.43661879948143656, 0.10290591249791094, 1729805870773016409, 
0.38916216611924587, -0.440905367852178, 0.06996868873170492, 1729805870823889066, 
0.33786387395373585, -0.25009631151656686, 0.07230558347175241, 1729805870964009176, 
0.3045398104650334, -0.23506578683084042, 0.08197290579271212, 1729805871062282686, 
0.2683719259432412, -0.22196003501254627, 0.06343595296935335, 1729805871172960598, 
0.23959032487893228, -0.2095583198844565, 0.05579613451103054, 1729805871268298660, 
0.2137394198897936, -0.1906993322781897, 0.045950367683689944, 1729805871363969028, 
0.1982218936718495, -0.14252628200679687, 0.04219345096169697, 1729805871462573903, 
0.1826184266925468, -0.09979285084530472, 0.04131981008870727, 1729805871572451460, 
0.16639970209656596, -0.10094269013075656, 0.03843951475666112, 1729805871673301444, 
