x, y, theta, stamp, 
-2.8982597655158315e-07, 3.3737734383976203e-07, -3.3380831236897272e-06, 1729806201481016913, 
-2.8982597655158315e-07, 3.3737734383976203e-07, -3.3381704358551557e-06, 1729806201571725365, 
-2.8982597655158315e-07, 3.3737734383976203e-07, -3.3382140919378692e-06, 1729806201620678113, 
-2.8982597655158315e-07, 3.3737734383976203e-07, -3.3382577480205837e-06, 1729806201670597187, 
-2.8982597655158315e-07, 3.3737734383976203e-07, -3.3383014041032977e-06, 1729806201720638707, 
-2.8982597655158315e-07, 3.3737734383976203e-07, -3.338345060186012e-06, 1729806201771380072, 
6.169780681375414e-05, -5.0625927542569116e-05, 0.000601261984192155, 1729806201811389601, 
0.0026841736398637295, -0.00010714562813518569, 0.01706570413423014, 1729806201880530485, 
0.007418894208967686, 0.0002194160333601758, 0.03187072201590007, 1729806201931643295, 
0.012450577691197395, 0.0005881365505047143, 0.04685444540643396, 1729806201971643327, 
0.020149793475866318, 0.0012045215116813779, 0.06866435976631945, 1729806202020627066, 
0.029587049037218094, 0.0021731273736804724, 0.09526453487986847, 1729806202070625407, 
0.040146589279174805, 0.0035312126856297255, 0.12579960582344302, 1729806202120805743, 
0.06064806506037712, 0.006805486977100372, 0.18519403553846753, 1729806202211644573, 
0.08490370959043503, 0.013309553265571594, 0.2542344135017157, 1729806202331638312, 
0.10387923568487167, 0.01857132278382778, 0.30447645553029223, 1729806202421128453, 
0.12451484054327011, 0.025670962408185005, 0.3609195814973497, 1729806202521086221, 
0.14278210699558258, 0.032891906797885895, 0.408336670722993, 1729806202611439503, 
0.1664491444826126, 0.04403721168637276, 0.4706810113155506, 1729806202732080971, 
0.18402570486068726, 0.05345870926976204, 0.5157430592751976, 1729806202821958375, 
0.20290037989616394, 0.06482554227113724, 0.5638975805125573, 1729806202920896994, 
0.2191084772348404, 0.075557179749012, 0.6030480203587719, 1729806203011308528, 
0.2397855520248413, 0.09100000560283661, 0.6461168987249395, 1729806203130738604, 
0.2551776170730591, 0.10310110449790955, 0.6802691572078635, 1729806203221832559, 
0.2717480957508087, 0.11752039194107056, 0.7121794920252642, 1729806203320859119, 
0.2864169478416443, 0.1311066597700119, 0.7330550090170099, 1729806203411285505, 
0.30519142746925354, 0.1488858312368393, 0.7508226269144243, 1729806203530872229, 
0.31894633173942566, 0.16247418522834778, 0.7621529818662777, 1729806203621622672, 
0.33471840620040894, 0.17817017436027527, 0.7757342188646729, 1729806203720624922, 
0.3486801087856293, 0.1919952630996704, 0.7873990362609945, 1729806203813056051, 
0.36407074332237244, 0.20782272517681122, 0.7957787650386325, 1729806203913901308, 
0.3806346356868744, 0.22490589320659637, 0.8037604947641943, 1729806204022626652, 
0.3952024579048157, 0.24044933915138245, 0.8100646517713821, 1729806204119864435, 
0.40859895944595337, 0.25474992394447327, 0.8151496065672958, 1729806204212128565, 
0.4261167645454407, 0.2736331522464752, 0.8226958536383109, 1729806204330061968, 
0.44004324078559875, 0.2887433171272278, 0.8262409047533469, 1729806204421656489, 
0.454831063747406, 0.3043864071369171, 0.8160052917299515, 1729806204518682914, 
0.4683060050010681, 0.31855273246765137, 0.8027627166596454, 1729806204611741110, 
0.48608502745628357, 0.33632007241249084, 0.794993863224525, 1729806204728744219, 
0.500148355960846, 0.35043424367904663, 0.7918113414694743, 1729806204820661683, 
0.515082061290741, 0.36561062932014465, 0.7850017331987723, 1729806204918637168, 
0.5293394327163696, 0.37974292039871216, 0.780014947944705, 1729806205012040339, 
0.5473536252975464, 0.3972312808036804, 0.7717913898956635, 1729806205128861066, 
