e, e_dot, e_int, stamp, 
0.740594740439835, 6.181194982428672e-10, 0.10343235015538645, 1729806201620678113, 
0.740594740483491, 5.887791333884741e-10, 0.07322395135090357, 1729806201670597187, 
0.7405947405271471, 5.823113890577187e-10, 0.07403029017200563, 1729806201720638707, 
0.7405947405708032, 5.775872753783188e-10, 0.0746392745661523, 1729806201771380072, 
0.7400995874526967, -0.004125292949451821, 0.0671946562677995, 1729806201811389601, 
0.7261372996756905, -0.07143851887663995, 0.0802921945282763, 1729806201880530485, 
0.7154467023878652, -0.13703219490221696, 0.08745183692616966, 1729806201931643295, 
0.704859870854297, -0.15794249479606504, 0.06518953381834414, 1729806201971643327, 
0.6898185797808621, -0.19057920097880646, 0.06258896446598025, 1729806202020627066, 
0.6714545705222463, -0.2247864660889641, 0.06817004799694801, 1729806202070625407, 
0.6500631257490768, -0.2645279179146679, 0.06716433571233824, 1729806202120805743, 
0.608414071145049, -0.29492844622651254, 0.09071912275932092, 1729806202211644573, 
0.5587837861145394, -0.2907004151388703, 0.12771260053039407, 1729806202331638312, 
0.5244496640390316, -0.26575700909251915, 0.11812429545133919, 1729806202421128453, 
0.48480591773234594, -0.26008956533403643, 0.09902059315855626, 1729806202521086221, 
0.452131517339818, -0.2527447755561705, 0.09270603776276856, 1729806202611439503, 
0.33394528075613794, -0.44709263258064186, 0.0893831936351712, 1729806202732080971, 
0.2968357763086028, -0.4641795951578604, 0.07599117787942127, 1729806202821958375, 
0.25653274545537064, -0.2734147141337101, 0.05584635444828494, 1729806202920896994, 
0.22358887905233193, -0.2572435653009513, 0.04903900090634992, 1729806203011308528, 
0.1872523947782373, -0.22287527880947655, 0.046680946226377557, 1729806203130738604, 
0.15784466040195055, -0.2090258767855313, 0.03990735174921032, 1729806203221832559, 
0.12995725872168573, -0.20148132601734506, 0.030105856937331952, 1729806203320859119, 
0.11202461340961656, -0.15997582010781394, 0.025249438159129868, 1729806203411285505, 
0.09788289959933882, -0.10552232259429106, 0.023792019230197338, 1729806203530872229, 
0.08878838756529028, -0.07282313346400698, 0.020942283173766833, 1729806203621622672, 
0.07782389465619899, -0.07032148534045637, 0.01672955767867559, 1729806203720624922, 
-0.023941566905971046, -0.40391227662862, 0.00910397903906557, 1729806203813056051, 
-0.03340598733589806, -0.3982792720357958, 0.0013191976912624744, 1729806203913901308, 
-0.04268098749122928, -0.05971920714882432, -0.006987680536053004, 1729806204022626652, 
-0.0507448722298075, -0.056078746638205605, -0.008707561274344015, 1729806204119864435, 
-0.0575546957580203, -0.05224582043260193, -0.009537034696361316, 1729806204212128565, 
-0.06772342933697306, -0.05334409724966699, -0.012333199929646248, 1729806204330061968, 
-0.07362384809365952, -0.05021442561058736, -0.013891839173907366, 1729806204421656489, 
-0.06557510397321897, 0.006178413270487297, -0.013009965109655764, 1729806204518682914, 
-0.054355232906458384, 0.06784082419300504, -0.012263891297873546, 1729806204611741110, 
-0.048248595030982, 0.05758680896421614, -0.011775961970219748, 1729806204728744219, 
-0.046574207679481616, 0.023469434686961804, -0.010388786893367252, 1729806204820661683, 
-0.13335078072121798, -0.28916019668541665, -0.014442851547246519, 1729806204918637168, 
-0.13217268296569262, -0.2910279189243883, -0.019909610962276607, 1729806205012040339, 
-0.1286428862646981, 0.014276179439794904, -0.027621062182419765, 1729806205128861066, 
-0.1277029213981421, 0.013485378852118708, -0.027016082243724034, 1729806205220648806, 
-0.13079902809168098, -0.006802690810934355, -0.024881398028086348, 1729806205321667962, 
-0.13195049984053053, -0.014483023940154077, -0.0248555957708116, 1729806205411624141, 
-0.13166260044723788, -0.003439860408776083, -0.02708402567116973, 1729806205527676021, 
-0.11922040493167196, 0.04488773138526942, -0.026821424993667655, 1729806205621805000, 
-0.10682956424396917, 0.08542062174233933, -0.023131021507736087, 1729806205721667148, 
-0.09934007483731921, 0.0691350534585638, -0.020580296185715323, 1729806205811549246, 
-0.1734485922669411, -0.22098803813719692, -0.02393931977135141, 1729806205910851843, 
-0.16504186724319336, -0.2232394190311107, -0.030515579977686235, 1729806206020640967, 
-0.1584626825159613, 0.04745622133543681, -0.034750465884907523, 1729806206120632985, 
-0.1543392479510447, 0.037005453038763965, -0.03045132726937421, 1729806206211820558, 
-0.15000085795949214, 0.029679667757316803, -0.0293406084283492, 1729806206310825930, 
-0.14793693645087458, 0.020869320188027108, -0.03148711762468305, 1729806206420677838, 
-0.14290249591280002, 0.022878873832846137, -0.030983273504142515, 1729806206521672857, 
-0.13095628788758112, 0.060678641548626226, -0.02690609732338119, 1729806206612046048, 
-0.11665490407487372, 0.08388903867831281, -0.027345132749679556, 1729806206731743338, 
-0.1760608235432931, -0.18033958374683642, -0.02960596700026112, 1729806206821684395, 
-0.16955352142026076, -0.19846754682780157, -0.029262600053298476, 1729806206921649546, 
-0.16112848556861115, 0.05288854620543306, -0.032094581157581986, 1729806207011689537, 
-0.15167234485106246, 0.057371978349390874, -0.03383391491326398, 1729806207132079377, 
-0.14517502893164547, 0.050339055980894276, -0.032064973398028655, 1729806207221733185, 
-0.14256459439595537, 0.03286333842564052, -0.027770583580539163, 1729806207321677651, 
-0.14053828908034344, 0.016248275032165495, -0.027053039886908777, 1729806207411234248, 
-0.12383199068166528, 0.0537650438921894, -0.028489856027507227, 1729806207531710198, 
-0.11073545759139697, 0.09475574960296766, -0.026310647248979482, 1729806207621660093, 
-0.1564678466611526, -0.1038414695929798, -0.024764780221667254, 1729806207721704149, 
-0.15003258530283448, -0.12892491842359952, -0.026636605942027776, 1729806207813182011, 
-0.1423751606569727, 0.04498575942102382, -0.03142074654849774, 1729806207931700507, 
-0.13760273641604975, 0.03921198950649352, -0.02988850137604924, 1729806208021701356, 
-0.12954993268629317, 0.044519678689636015, -0.025936104986238006, 1729806208121695690, 
-0.12458534967985468, 0.045182979396971475, -0.024840456940133225, 1729806208211934030, 
-0.11838269135716889, 0.035607000954562505, -0.026072532484204308, 1729806208331665686, 
-0.10760993915017214, 0.05716610873391983, -0.024509415166676776, 1729806208421668382, 
-0.09720472426535265, 0.07458461035345752, -0.020468625847223226, 1729806208521660674, 
-0.13285378268916168, -0.09712276350255424, -0.02140202074824862, 1729806208611813665, 
-0.12289204009424887, -0.10429810543153821, -0.02480670954112188, 1729806208732512107, 
-0.11845646531371767, 0.04390179458781588, -0.026307060988608952, 1729806208822718797, 
-0.11120068333225722, 0.04094695212176491, -0.02217505300116297, 1729806208921209631, 
-0.1083455578468924, 0.03512092545022608, -0.021246548519059882, 1729806209011296120, 
-0.10141199069622817, 0.02972983776338896, -0.022539603483891554, 1729806209131887544, 
-0.09840085977850266, 0.03021189644937576, -0.021720459742512098, 1729806209222750286, 
-0.08896368263892931, 0.04271010958966013, -0.018309478340526677, 1729806209322098412, 
-0.07899980225277445, 0.0686898255420884, -0.016785338959217425, 1729806209411799676, 
-0.10551269728777779, -0.03648146635791922, -0.019136830765173665, 1729806209532027086, 
-0.10358824471380004, -0.05742191417672666, -0.01537560406052875, 1729806209571906212, 
-0.09644971739179584, 0.03195160145690292, -0.019336829191779883, 1729806209721882633, 
-0.0921060204159401, 0.032039722439654826, -0.023322583802981228, 1729806209811403705, 
-0.08589959979708658, 0.03335378844322289, -0.019206465581395188, 1729806209931823519, 
-0.08370200800522645, 0.025235643189122223, -0.018437576241390925, 1729806210022756844, 
-0.08126016960222956, 0.01634205413005239, -0.015817712161750812, 1729806210120984008, 
-0.07465851771680335, 0.03224779801943698, -0.015181117394198262, 1729806210212821196, 
-0.08981262931284512, -0.018855235425523236, -0.017185950105944297, 1729806210330797926, 
