x, y, theta, stamp, 
-1.449151483257083e-07, 1.6868919772150548e-07, -1.6709900388534048e-06, 1729805624920033271, 
-1.2421293149600388e-07, 1.4459074293426966e-07, -1.4325857738372118e-06, 1729805624969502437, 
-1.2421293149600388e-07, 1.4459074293426966e-07, -1.4325853133839336e-06, 1729805625015243000, 
-1.2421293149600388e-07, 1.4459074293426966e-07, -1.4325853133839336e-06, 1729805625059816567, 
3.9723963709548116e-05, 7.200698064480093e-07, 5.95800102832535e-06, 1729805625109676673, 
0.0030663360375910997, -5.234549462329596e-05, 0.0019153709887065708, 1729805625159230309, 
0.008565636351704597, 0.00022858617012389004, 0.003964804196943976, 1729805625210024755, 
0.016211584210395813, 9.59808166953735e-05, 0.007784618174690254, 1729805625260482543, 
0.028132136911153793, 0.00030866535962559283, 0.011230322001721188, 1729805625319517370, 
0.03998471051454544, 0.0002819577348418534, 0.012894659108235224, 1729805625369304605, 
0.05183901637792587, 0.00040290638571605086, 0.012894664696536181, 1729805625421377604, 
0.060956962406635284, 0.000641432183329016, 0.01499192672898911, 1729805625459315804, 
0.07162173092365265, 0.0009103663032874465, 0.019278748576838037, 1729805625509237854, 
0.09297020733356476, 0.0013060361379757524, 0.029806187396806898, 1729805625609693545, 
0.11699920147657394, 0.0022330491337925196, 0.03884906601286348, 1729805625719214199, 
0.13855643570423126, 0.0031656373757869005, 0.050235998169408234, 1729805625819280636, 
0.15851612389087677, 0.004345256369560957, 0.05962897699885576, 1729805625909204314, 
0.17896676063537598, 0.005780413746833801, 0.07039808456822896, 1729805626005157171, 
0.2039000540971756, 0.007731330115348101, 0.08226461350011655, 1729805626119239264, 
0.225567027926445, 0.009610963985323906, 0.09159141228328091, 1729805626220312661, 
0.24477164447307587, 0.011502048932015896, 0.10049892772124873, 1729805626309201865, 
0.2665243446826935, 0.01375637762248516, 0.11089758282251998, 1729805626409226981, 
0.2899603545665741, 0.016770653426647186, 0.12345226624454508, 1729805626519283721, 
0.3115229606628418, 0.019648132845759392, 0.13160077604605508, 1729805626619291736, 
0.33079612255096436, 0.02237340807914734, 0.1325594311289554, 1729805626709209755, 
0.35227978229522705, 0.025445841252803802, 0.13611270988671237, 1729805626809323118, 
0.37602099776268005, 0.02883203886449337, 0.14657012168730227, 1729805626919228715, 
0.39729994535446167, 0.03225141018629074, 0.1566707959577573, 1729805627020226480, 
0.4159110486507416, 0.03519256412982941, 0.16407228286169, 1729805627109237884, 
0.43650609254837036, 0.0386744849383831, 0.1724915612793396, 1729805627210076542, 
0.4587332308292389, 0.04294021800160408, 0.1832184663697618, 1729805627319242458, 
0.47900518774986267, 0.04709598794579506, 0.19621856182879624, 1729805627419241434, 
0.4970916509628296, 0.051111284643411636, 0.20478975678556252, 1729805627509220121, 
0.5169826149940491, 0.05557629093527794, 0.21878057865379083, 1729805627609573970, 
0.5384612083435059, 0.06076280027627945, 0.23000357836028343, 1729805627719272254, 
0.5579095482826233, 0.0658084973692894, 0.24251468544327973, 1729805627819240468, 
0.5749750733375549, 0.07033941149711609, 0.2523787695154919, 1729805627910224348, 
0.5958974361419678, 0.07613252103328705, 0.2636733512894554, 1729805628020859262, 
0.6110954880714417, 0.08019053190946579, 0.26518095891032034, 1729805628099672398, 
0.633023738861084, 0.0863228589296341, 0.26575562478209414, 1729805628220258726, 
0.6492587327957153, 0.09069038182497025, 0.2712752928241124, 1729805628310429081, 
0.6673043966293335, 0.09585567563772202, 0.28056338663935426, 1729805628409441486, 
0.6867477893829346, 0.1014493778347969, 0.2895514750104014, 1729805628519272223, 
0.7043992280960083, 0.10696302354335785, 0.2999009864270079, 1729805628619257067, 
0.720319390296936, 0.11193438619375229, 0.3090195420399966, 1729805628710258255, 
