e, e_dot, e_int, stamp, 
1.2255915670898512, 2.9841875177662634e-11, 0.1363164465611303, 1729804844458640782, 
1.2255915670862132, 5.1061782368646245e-12, 0.10988758410907376, 1729804844507665461, 
1.2255915670898512, -4.74710809115255e-13, 0.12134412483871723, 1729804844557649398, 
1.2255915670862132, -3.9984200647056565e-13, 0.1215265369850762, 1729804844606822913, 
1.2255915670898512, -7.616385350175543e-13, 0.12245391638658952, 1729804844657563529, 
1.2217439375153663, -0.0312335299639306, 0.11239602487860476, 1729804844698626553, 
1.2139886641335527, -0.08496468810707185, 0.10883238250273522, 1729804844746738137, 
1.2014834699525199, -0.13673894025864627, 0.11921404744929628, 1729804844796955092, 
1.1808009595767055, -0.19637058949086592, 0.13310052704725547, 1729804844857770189, 
1.136128343990204, -0.2640735471611044, 0.1872023295458996, 1729804844956574507, 
1.083558422220323, -0.3241495136815351, 0.2265165313219336, 1729804845057609050, 
1.0387961177589098, -0.34138565993453557, 0.2062366883312125, 1729804845146451234, 
0.9858246079432306, -0.32677356228082427, 0.20722723025594003, 1729804845257623805, 
0.9359526991120748, -0.32514662835173613, 0.20834968074741733, 1729804845357575551, 
0.8881967002063876, -0.32550315450969264, 0.18728843928336134, 1729804845457577725, 
0.8451116886263608, -0.3167297720107697, 0.17008569911793342, 1729804845548735981, 
0.7953547490863178, -0.30981939011272475, 0.16864400675274252, 1729804845657656578, 
0.7507161197330292, -0.30249276333867714, 0.16576658909241307, 1729804845756708294, 
0.7093977161730574, -0.28670578750107517, 0.1503358699914372, 1729804845857618401, 
0.6733394543271809, -0.2689775258704677, 0.13627675465004097, 1729804845948336705, 
0.6328957499273812, -0.2557965200647184, 0.13440970845969497, 1729804846057669274, 
0.5986393928625128, -0.23758801016819156, 0.13286447422873618, 1729804846157585872, 
0.5646810988447388, -0.2273000166341912, 0.11979183218131105, 1729804846257742900, 
0.5395410498546221, -0.20615190385400353, 0.10792399397358027, 1729804846347719934, 
0.5074444746436442, -0.19074738157609575, 0.10722022971889411, 1729804846457325546, 
0.4799296450725744, -0.18903206894530125, 0.10684832136658472, 1729804846557649713, 
0.45197432503294, -0.18503121750187823, 0.09589320766256755, 1729804846657193496, 
0.42670267692389663, -0.16926374785253184, 0.09550724221631036, 1729804846768543519, 
0.40738967615272603, -0.14758549889630443, 0.08610004937712752, 1729804846858038563, 
0.38805724696321375, -0.13570754703631271, 0.07762323734868536, 1729804846959084605, 
0.3682621948972007, -0.13112880068121804, 0.07719681194558549, 1729804847057049151, 
0.34904318725527594, -0.13716918243721674, 0.06990553830281142, 1729804847148811134, 
0.3283395985991737, -0.13255229011429054, 0.07032414597589694, 1729804847258812122, 
0.31076780425645656, -0.12082823215250289, 0.06944416844075339, 1729804847359641859, 
0.2950941927129358, -0.11246301140766306, 0.06132031979657133, 1729804847455729961, 
0.27972464697964683, -0.10047046242080522, 0.06117178319010281, 1729804847566866472, 
