e, e_dot, e_int, stamp, 
0.7853981634181323, 6.613228836726413e-07, 0.125323925128323, 1729802958485503713, 
0.7853983794307351, 1.4688015426218729e-06, 0.07830995868445038, 1729802958534526309, 
0.7853983794293161, 1.4687867418603556e-06, 0.07793094127999438, 1729802958584728451, 
0.7853983794287307, -1.3337196204800085e-11, 0.07857180208620541, 1729802958634567007, 
0.7834673233725657, -0.010873930726142693, 0.0855648130446983, 1729802958693762285, 
0.7740371598764619, -0.0731888938178962, 0.0856243730986762, 1729802958744205833, 
0.7626747184925722, -0.13808689018500556, 0.07767095391321001, 1729802958794191106, 
0.7502570931376703, -0.17845353474369396, 0.06883500033454226, 1729802958834502205, 
0.7321667016612297, -0.22325349095855382, 0.06759530704795844, 1729802958884514947, 
0.682429197359171, -0.28640136016542495, 0.10823539735037982, 1729802958984492155, 
0.6305047210649419, -0.3583009527983559, 0.1294569457102318, 1729802959074417993, 
0.5653775242180801, -0.37324707774840044, 0.1314907599044311, 1729802959194506464, 
0.5141035976397336, -0.3704216291372154, 0.11981906540063865, 1729802959284628620, 
0.45852334620516866, -0.3769534882999199, 0.09691123080987409, 1729802959383539525, 
0.4099779491359904, -0.36326545112970515, 0.08796818838560631, 1729802959475503516, 
0.3460719776568929, -0.35769906714888644, 0.08468597773528519, 1729802959592714170, 
0.29713191310255294, -0.3575300195439641, 0.07372675054306647, 1729802959685514972, 
0.24997312021147644, -0.33787621346168967, 0.056503303640855256, 1729802959782497280, 
0.2104430820290043, -0.3053345414269118, 0.04771741565365146, 1729802959874482833, 
0.16496141954997667, -0.27168843195069325, 0.04378072069738859, 1729802959992517846, 
0.13518851816951594, -0.23634403643683574, 0.035743110729930305, 1729802960084492230, 
0.10526511075442757, -0.2096919968260659, 0.02567167656397043, 1729802960182483734, 
0.07941841867878363, -0.1953369640174937, 0.02026810042643472, 1729802960274581679, 
0.05134647984861451, -0.17354843094292707, 0.01644841963379031, 1729802960391547230, 
0.03415170881483831, -0.14165145961712766, 0.011540538361565801, 1729802960484515752, 
0.01927745289256344, -0.11276591384369582, 0.00663464078906538, 1729802960581514307, 
0.008885103515599013, -0.08811678988231142, 0.00395942564679124, 1729802960675134656, 
-0.0017008142463721398, -0.06730957288812743, 0.0018527366862102236, 1729802960791561326, 
-0.00804767685095531, -0.0530645501174811, -6.026258713628489e-05, 1729802960884528172, 
-0.014977480480745209, -0.0456005729976815, -0.0015996491543886254, 1729802960985646620, 
-0.016371238103278785, -0.027991395247197237, -0.002513126229304101, 1729802961075900469, 
-0.019054791692746265, -0.012950100772435346, -0.003442527527259171, 1729802961190544702, 
-0.02038281559602939, -0.012512651257038371, -0.0038811037825954298, 1729802961284528891, 
-0.022986679113248587, -0.013394084742319104, -0.004035376960894596, 1729802961384477730, 
